,Title,Year Published,Min Players,Max Players,Best Players,Play Time,Age,Complexity,Designers,Artists,Publishers,Categories,Mechanisms
12815,Gregory Horror Show,(2002),2,4,none,"[90, 90]",10,1.40,[Kris Oprisko],[],[Upper Deck Entertainment],"[Card Game, Collectible Components, Horror]",[Roll / Spin and Move]
12816,Awkward Family Photos,(2011),4,6,none,"[Time:, Time:]",13,1.13,[],[],"[All Things Equal, Inc.]","[Humor, Party Game]",[Voting]
12817,Make Your Own Opoly,(1998),2,6,none,"[60, 60]",12,1.50,[Larry Balsamo],[],"[Paul Lamond Games Ltd, TDC Games, Inc.]",[Economic],"[Roll / Spin and Move, Set Collection, Trading]"
12818,Continuo,(1982),1,5,none,"[20, 20]",4,1.41,[Maureen Hiron],[],"[AMIGO Spiel + Freizeit GmbH, Casper, Early Learning Centre, Fidelity Electronics, Game Factory, Hiron Games, Peliko, Samuel Ward Co., Schmidt Spiele, Spear's Games, Stragoo Games, U.S. Games Systems, Inc.]",[Abstract Strategy],[Tile Placement]
12819,Inkan Aarre,(2005),2,6,5–6,"[45, 45]",8,1.09,[Kari Mannerla],[],"[Martinex, Peliko]",[Exploration],[Roll / Spin and Move]
12820,Quao,(2007),3,6,none,"[60, 60]",12,1.11,"[Matthew Rivaldi, Jean Rivaldi]",[],[Wiggity Bang Games],"[Card Game, Humor, Memory, Party Game]","[Memory, Pattern Recognition]"
12821,Advanced Dungeons & Dragons Trivia Game,(1991),3,10,none,"[60, 60]",10,2.17,[Richard Borg],[],[TSR],"[Fantasy, Memory, Trivia]","[Co-operative Play, Memory]"
12822,Crossfire,(1971),2,2,2,"[10, 10]",7,1.17,[(Uncredited)],[],"[Arxon, Ideal, Milton Bradley]","[Action / Dexterity, Real-time, Sports]",[]
12823,LEGO Racers Super Speedway Game,(2001),2,4,none,"[30, 30]",5,1.21,[(Uncredited)],[],"[danspil, Jumbo, LEGO, RoseArt, Warren Industries, Inc.]","[Children's Game, Racing]","[Modular Board, Roll / Spin and Move]"
12824,Tip-It,(1965),2,4,3,"[20, 20]",4,1.07,[Marvin Glass],[Edison Girard],"[Arxon, Cardinal, Ideal, Mattel, Tyco]","[Abstract Strategy, Action / Dexterity, Children's Game]",[Point to Point Movement]
